"Kod";"Nazwa";"choroby układu krążenia ogółem;2002;[-]";"choroby układu krążenia ogółem;2003;[-]";"choroby układu krążenia ogółem;2004;[-]";"choroby układu krążenia ogółem;2005;[-]";"choroby układu krążenia ogółem;2006;[-]";"choroby układu krążenia ogółem;2007;[-]";"choroby układu krążenia ogółem;2008;[-]";"choroby układu krążenia ogółem;2009;[-]";"choroby układu krążenia ogółem;2010;[-]";"choroby układu krążenia ogółem;2011;[-]";"choroby układu krążenia ogółem;2012;[-]";"choroby układu krążenia ogółem;2013;[-]";"choroby układu krążenia ogółem;2014;[-]";"choroby układu krążenia ogółem;2015;[-]";"choroby układu krążenia ogółem;2016;[-]";"choroby układu krążenia ogółem;2017;[-]";
0000000;"POLSKA";169299;172292;168674;168227;168532;171372;172943;177965;174003;169872;177578;177433;169735;180343;167974;;
0200000;"DOLNOŚLĄSKIE";12929;13194;13481;13671;13991;13859;14613;15031;14189;14014;14461;14442;13483;14224;12900;;
0201000;"Powiat bolesławiecki";323;284;312;370;338;350;351;424;410;363;423;381;356;358;353;;
0202000;"Powiat dzierżoniowski";529;522;521;549;568;537;624;679;592;597;586;649;526;613;544;;
0203000;"Powiat głogowski";286;311;284;283;288;294;306;317;298;285;321;317;286;271;293;;
0204000;"Powiat górowski";161;191;177;167;172;194;157;230;178;171;187;191;154;196;164;;
0205000;"Powiat jaworski";294;243;272;263;272;261;270;299;226;251;275;274;253;296;240;;
0206000;"Powiat jeleniogórski";251;270;246;348;307;307;355;380;340;347;356;362;313;333;346;;
0207000;"Powiat kamiennogórski";162;204;202;213;231;223;240;244;219;206;206;230;230;234;206;;
0208000;"Powiat kłodzki";936;922;927;972;951;957;1021;964;903;957;977;981;921;984;841;;
0209000;"Powiat legnicki";242;283;279;280;252;250;270;246;306;271;344;288;283;279;240;;
0210000;"Powiat lubański";252;267;291;323;323;323;359;388;284;356;341;332;293;250;244;;
0211000;"Powiat lubiński";282;320;296;343;334;338;349;335;348;342;379;419;360;376;380;;
0212000;"Powiat lwówecki";263;221;221;233;279;273;289;301;252;263;260;283;270;257;213;;
0213000;"Powiat milicki";187;173;191;187;174;190;193;204;213;203;194;203;200;210;189;;
0214000;"Powiat oleśnicki";446;450;453;446;478;467;474;539;502;484;468;433;434;460;431;;
0215000;"Powiat oławski";263;310;302;286;250;299;286;334;338;342;305;318;299;286;315;;
0216000;"Powiat polkowicki";210;203;231;221;226;187;240;225;232;226;249;231;241;269;239;;
0217000;"Powiat strzeliński";226;228;251;234;238;263;260;283;250;242;277;256;234;226;243;;
0218000;"Powiat średzki";260;240;251;263;272;252;290;260;241;261;249;226;220;252;217;;
0219000;"Powiat świdnicki";765;758;769;733;772;779;864;793;823;843;818;830;792;818;770;;
0220000;"Powiat trzebnicki";332;352;381;365;369;387;388;368;388;320;355;368;336;333;282;;
0221000;"Powiat wałbrzyski";294;1029;1122;1051;1120;1036;1112;1066;1096;1088;1040;323;320;354;303;;
0222000;"Powiat wołowski";230;283;239;226;249;240;299;274;241;292;254;263;213;254;247;;
0223000;"Powiat wrocławski";417;435;452;442;427;493;448;452;457;399;446;417;432;436;390;;
0224000;"Powiat ząbkowicki";422;441;415;389;389;348;413;395;407;360;404;377;362;366;381;;
0225000;"Powiat zgorzelecki";403;375;428;452;500;468;464;485;476;422;470;482;465;473;447;;
0226000;"Powiat złotoryjski";235;218;196;230;230;250;202;270;203;209;227;251;187;228;167;;
0261000;"Powiat m.Jelenia Góra";365;335;385;391;446;373;444;452;471;499;478;471;449;441;423;;
0262000;"Powiat m.Legnica";427;428;460;464;427;434;474;463;413;490;507;543;507;523;460;;
0263000;"Powiat m.Wałbrzych do 2002";689;;;;;;;;;;;;;;;;
0264000;"Powiat m.Wrocław";2777;2898;2927;2947;3109;3086;3171;3361;3082;2925;3065;2998;2847;3125;2657;;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;;745;700;723;675;;
0400000;"KUJAWSKO-POMORSKIE";8845;9066;8759;8604;8883;8978;9187;9145;9185;8409;9068;8882;8043;9857;7954;;
0401000;"Powiat aleksandrowski";334;322;322;340;329;314;311;287;282;305;311;289;297;336;279;;
0402000;"Powiat brodnicki";299;324;306;340;315;342;325;355;321;282;315;311;283;368;300;;
0403000;"Powiat bydgoski";311;321;328;351;314;332;386;375;356;325;343;355;303;372;291;;
0404000;"Powiat chełmiński";219;216;212;223;201;219;195;207;218;180;195;225;162;230;179;;
0405000;"Powiat golubsko-dobrzyński";178;202;162;171;182;187;153;198;164;183;195;171;132;197;171;;
0406000;"Powiat grudziądzki";184;193;185;161;150;151;158;140;141;146;154;155;129;168;143;;
0407000;"Powiat inowrocławski";770;728;778;753;782;804;810;775;810;743;777;758;711;841;628;;
0408000;"Powiat lipnowski";302;302;327;290;331;327;305;328;369;341;335;353;335;359;311;;
0409000;"Powiat mogileński";231;241;249;222;245;231;205;214;221;232;196;239;210;218;201;;
0410000;"Powiat nakielski";346;388;379;366;396;408;434;394;389;339;365;363;272;364;292;;
0411000;"Powiat radziejowski";235;236;218;217;216;233;231;224;223;203;221;181;191;227;176;;
0412000;"Powiat rypiński";224;227;215;225;224;247;213;245;236;198;232;234;201;239;180;;
0413000;"Powiat sępoleński";167;178;180;167;156;180;198;188;196;165;147;155;143;190;157;;
0414000;"Powiat świecki";445;475;468;393;427;433;444;444;468;448;446;430;401;513;447;;
0415000;"Powiat toruński";314;331;305;274;282;307;339;298;342;271;335;330;292;365;345;;
0416000;"Powiat tucholski";217;244;225;186;225;191;197;172;199;196;203;205;156;196;170;;
0417000;"Powiat wąbrzeski";136;140;122;158;141;159;142;158;169;124;173;135;117;137;131;;
0418000;"Powiat włocławski";474;467;477;462;482;507;491;477;455;447;457;449;397;487;424;;
0419000;"Powiat żniński";306;293;224;292;302;267;282;344;311;291;308;296;251;321;251;;
0461000;"Powiat m.Bydgoszcz";1511;1589;1451;1384;1546;1488;1652;1636;1570;1374;1576;1529;1381;1709;1290;;
0462000;"Powiat m.Grudziądz";469;452;413;437;473;437;501;420;478;441;458;429;394;523;390;;
0463000;"Powiat m.Toruń";677;713;678;705;669;688;691;755;711;653;708;726;720;793;646;;
0464000;"Powiat m.Włocławek";496;484;535;487;495;526;524;511;556;522;618;564;565;704;552;;
0600000;"LUBELSKIE";11311;11363;11322;11537;11041;11355;11445;11555;11855;11384;11435;10952;10399;10859;11309;;
0601000;"Powiat bialski";712;757;749;746;753;775;726;741;700;669;658;667;573;616;613;;
0602000;"Powiat biłgorajski";457;453;503;497;477;497;478;535;510;545;530;475;487;522;575;;
0603000;"Powiat chełmski";534;467;466;498;553;492;523;518;549;496;489;476;433;500;488;;
0604000;"Powiat hrubieszowski";291;299;294;333;307;318;334;348;350;380;327;341;312;317;322;;
0605000;"Powiat janowski";286;294;254;332;264;298;318;338;358;303;289;283;282;346;284;;
0606000;"Powiat krasnostawski";579;583;591;535;493;520;493;482;516;467;459;456;441;487;439;;
