,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
0,1,DOLNOŚLĄSKIE,DsBogatMob,DsBogatFrancMOB,Bogatynia Mobil,Bogatynia,ul. Francuska/Kręta,50.94082830000001,14.9166025
1,2,DOLNOŚLĄSKIE,DsCzer02,DsCzerStraza,Czerniawa,Czerniawa,ul. Strażacka,50.9137397,15.3104831
2,3,DOLNOŚLĄSKIE,DsDzia01,DsDzialoszyn,Działoszyn,Działoszyn,,50.9795763,14.9504676
3,4,DOLNOŚLĄSKIE,DsDzierPilsA,DsDziePilsud,Dzierżoniów - Piłsudskiego,Dzierżoniów,ul. Piłsudskiego,50.7306059,16.6515411
4,5,DOLNOŚLĄSKIE,DsGlogWita,DsGlogWiStwo,Głogów - Wita Stwosza,Głogów,ul. Wita Stwosza,51.6491603,16.0995828
5,6,DOLNOŚLĄSKIE,DsJeleniaGoraA,DsJelGorOgin,Jelenia Góra - Ogińskiego,Jelenia Góra,ul. Ogińskiego 6,50.9132539,15.763495
6,7,DOLNOŚLĄSKIE,DsJeleniaGoraPM,DsJelGorSoko,Jelenia Góra - Sokoliki,Jelenia Góra,ul. Sokoliki 6,50.8708389,15.6999283
7,8,DOLNOŚLĄSKIE,DsKlodzkoA,DsKlodzSzkol,Kłodzko - Szkolna,Kłodzko,ul. Szkolna 8,50.4335488,16.6522789
8,9,DOLNOŚLĄSKIE,DsLegRzeczA,DsLegAlRzecz,Legnica - Rzeczypospolitej,Legnica,al. Rzeczypospolitej 10/12,51.2043793,16.1800501
9,10,DOLNOŚLĄSKIE,DsNRudaSrebP,DsNowRudSreb,Nowa Ruda - Srebrna,Nowa Ruda,ul. Srebrna 1a,50.579918,16.513762
10,11,DOLNOŚLĄSKIE,DsOlawaSemi,DsOlawZolnAK,Oława - Żołnierzy AK,Oława,ul. Żołnierzy AK 9,50.9421428,17.291718
11,12,DOLNOŚLĄSKIE,DsOlesnicaPM,DsOlesBrzozo,Oleśnica - Brzozowa,Oleśnica,ul. Brzozowa 7,51.2168661,17.3903876
12,13,DOLNOŚLĄSKIE,DsOsieczow,DsOsieczow21,Osieczów,Osieczów,,51.2954476,15.4373351
13,14,DOLNOŚLĄSKIE,DsPolkKasz,DsPolKasztan,Polkowice - Kasztanowa,Polkowice,ul. Kasztanowa,51.5028625,16.0753852
14,15,DOLNOŚLĄSKIE,DsSniezka,DsSniezkaObs,Śnieżka,,Śnieżka,50.7360171,15.7399457
15,16,DOLNOŚLĄSKIE,DsSwidMob,DsSwidnMarciMOB,Świdnica - Marcinkowskiego,Świdnica,ul. Karola Marcinkowskiego 4-6,50.845533,16.466794
16,17,DOLNOŚLĄSKIE,DsSwidRynek,DsSwidnRynek,Świdnica - Rynek,Świdnica,ul. Rynek 43,50.8425203,16.4866203
17,18,DOLNOŚLĄSKIE,DsSzczDZPM,DsSzczaKolej,Szczawno-Zdrój - Kolejowa,Szczawno-Zdrój,ul. Kolejowa 14,50.8040759,16.253055
18,19,DOLNOŚLĄSKIE,DsWalbWysA,DsWalbrzWyso,Wałbrzych - Wysockiego,Wałbrzych,ul. Wysockiego 11,50.7709553,16.2725478
19,20,DOLNOŚLĄSKIE,DsWrocWisA,DsWrocAlWisn,Wrocław - Wiśniowa,Wrocław,al. Wiśniowa/Powst. Śląskich,51.086535,17.0119715
