,Wojewodztwo,ICD10,Rok,Liczba
0,2,C00,1999,36
1,2,C00,2000,36
2,2,C00,2001,36
3,2,C00,2002,36
4,2,C00,2003,36
5,2,C00,2004,36
6,2,C00,2005,36
7,2,C00,2006,36
8,2,C00,2007,36
9,2,C00,2008,36
10,2,C00,2009,36
11,2,C00,2010,36
12,2,C00,2011,36
13,2,C00,2012,36
14,2,C00,2013,12
15,2,C00,2014,36
16,2,C00,2015,36
17,2,C01,1999,36
18,2,C01,2000,36
19,2,C01,2001,36
20,2,C01,2002,36
21,2,C01,2003,36
22,2,C01,2004,36
23,2,C01,2005,36
24,2,C01,2006,18
25,2,C01,2007,36
26,2,C01,2008,36
27,2,C01,2009,36
28,2,C01,2010,36
29,2,C01,2011,36
30,2,C01,2012,36
31,2,C01,2013,9
32,2,C01,2014,18
33,2,C01,2015,36
34,2,C02,1999,36
35,2,C02,2000,36
36,2,C02,2001,36
37,2,C02,2002,36
38,2,C02,2003,36
39,2,C02,2004,36
40,2,C02,2005,36
41,2,C02,2006,36
42,2,C02,2007,36
43,2,C02,2008,36
44,2,C02,2009,36
45,2,C02,2010,36
46,2,C02,2011,36
47,2,C02,2012,36
48,2,C02,2013,20
49,2,C02,2014,36
50,2,C02,2015,36
51,2,C03,1999,36
52,2,C03,2000,36
53,2,C03,2001,36
54,2,C03,2002,36
55,2,C03,2003,36
56,2,C03,2004,36
57,2,C03,2005,36
58,2,C03,2006,18
59,2,C03,2007,36
60,2,C03,2008,36
61,2,C03,2009,36
62,2,C03,2010,36
63,2,C03,2011,36
64,2,C03,2012,36
65,2,C03,2013,12
66,2,C03,2014,36
67,2,C03,2015,36
68,2,C04,1999,36
69,2,C04,2000,36
70,2,C04,2001,36
71,2,C04,2002,36
72,2,C04,2003,36
73,2,C04,2004,36
74,2,C04,2005,36
75,2,C04,2006,36
76,2,C04,2007,36
77,2,C04,2008,36
78,2,C04,2009,36
79,2,C04,2010,36
80,2,C04,2011,36
81,2,C04,2012,36
82,2,C04,2013,12
83,2,C04,2014,36
84,2,C04,2015,36
85,2,C05,1999,36
86,2,C05,2000,36
87,2,C05,2001,36
88,2,C05,2002,36
89,2,C05,2003,36
90,2,C05,2004,36
91,2,C05,2005,36
92,2,C05,2006,36
93,2,C05,2007,36
94,2,C05,2008,36
95,2,C05,2009,36
96,2,C05,2010,36
97,2,C05,2011,36
98,2,C05,2012,36
99,2,C05,2013,11
100,2,C05,2014,36
101,2,C05,2015,36
102,2,C06,1999,36
103,2,C06,2000,36
104,2,C06,2001,36
105,2,C06,2002,36
106,2,C06,2003,36
107,2,C06,2004,36
108,2,C06,2005,36
109,2,C06,2006,36
110,2,C06,2007,36
111,2,C06,2008,36
112,2,C06,2009,36
113,2,C06,2010,36
114,2,C06,2011,36
115,2,C06,2012,36
116,2,C06,2013,16
117,2,C06,2014,36
118,2,C06,2015,36
119,2,C07,1999,36
120,2,C07,2000,36
121,2,C07,2001,36
122,2,C07,2002,36
123,2,C07,2003,36
124,2,C07,2004,36
125,2,C07,2005,36
126,2,C07,2006,36
127,2,C07,2007,36
128,2,C07,2008,36
129,2,C07,2009,36
130,2,C07,2010,36
131,2,C07,2011,36
132,2,C07,2012,36
133,2,C07,2013,14
134,2,C07,2014,36
135,2,C07,2015,36
136,2,C08,1999,36
137,2,C08,2000,36
138,2,C08,2001,36
139,2,C08,2002,36
140,2,C08,2003,36
141,2,C08,2004,36
142,2,C08,2005,36
143,2,C08,2006,36
144,2,C08,2007,36
145,2,C08,2008,36
146,2,C08,2009,18
147,2,C08,2010,36
148,2,C08,2011,18
149,2,C08,2012,36
150,2,C08,2013,4
151,2,C08,2014,36
152,2,C08,2015,36
153,2,C09,1999,36
154,2,C09,2000,36
155,2,C09,2001,36
156,2,C09,2002,36
157,2,C09,2003,36
158,2,C09,2004,36
159,2,C09,2005,36
160,2,C09,2006,36
161,2,C09,2007,36
162,2,C09,2008,36
