Kod,Nazwa
201000,Powiat bolesławiecki
202000,Powiat dzierżoniowski
203000,Powiat głogowski
204000,Powiat górowski
205000,Powiat jaworski
206000,Powiat jeleniogórski
207000,Powiat kamiennogórski
208000,Powiat kłodzki
209000,Powiat legnicki
210000,Powiat lubański
211000,Powiat lubiński
212000,Powiat lwówecki
213000,Powiat milicki
214000,Powiat oleśnicki
215000,Powiat oławski
216000,Powiat polkowicki
217000,Powiat strzeliński
218000,Powiat średzki
219000,Powiat świdnicki
220000,Powiat trzebnicki
221000,Powiat wałbrzyski
222000,Powiat wołowski
223000,Powiat wrocławski
224000,Powiat ząbkowicki
225000,Powiat zgorzelecki
226000,Powiat złotoryjski
261000,Powiat m.Jelenia Góra
262000,Powiat m.Legnica
263000,Powiat m.Wałbrzych do 2002
264000,Powiat m.Wrocław
265000,Powiat m.Wałbrzych od 2013
401000,Powiat aleksandrowski
402000,Powiat brodnicki
403000,Powiat bydgoski
404000,Powiat chełmiński
405000,Powiat golubsko-dobrzyński
406000,Powiat grudziądzki
407000,Powiat inowrocławski
408000,Powiat lipnowski
409000,Powiat mogileński
410000,Powiat nakielski
411000,Powiat radziejowski
412000,Powiat rypiński
413000,Powiat sępoleński
414000,Powiat świecki
415000,Powiat toruński
416000,Powiat tucholski
417000,Powiat wąbrzeski
418000,Powiat włocławski
419000,Powiat żniński
461000,Powiat m.Bydgoszcz
462000,Powiat m.Grudziądz
463000,Powiat m.Toruń
464000,Powiat m.Włocławek
601000,Powiat bialski
602000,Powiat biłgorajski
603000,Powiat chełmski
604000,Powiat hrubieszowski
605000,Powiat janowski
606000,Powiat krasnostawski
607000,Powiat kraśnicki
608000,Powiat lubartowski
609000,Powiat lubelski
610000,Powiat łęczyński
611000,Powiat łukowski
612000,Powiat opolski
613000,Powiat parczewski
614000,Powiat puławski
615000,Powiat radzyński
616000,Powiat rycki
617000,Powiat świdnicki
618000,Powiat tomaszowski
619000,Powiat włodawski
620000,Powiat zamojski
661000,Powiat m.Biała Podlaska
