,Kod,Date,Value
0,201000,2002,323.0
1,202000,2002,529.0
2,203000,2002,286.0
3,204000,2002,161.0
4,205000,2002,294.0
5,206000,2002,251.0
6,207000,2002,162.0
7,208000,2002,936.0
8,209000,2002,242.0
9,210000,2002,252.0
10,211000,2002,282.0
11,212000,2002,263.0
12,213000,2002,187.0
13,214000,2002,446.0
14,215000,2002,263.0
15,216000,2002,210.0
16,217000,2002,226.0
17,218000,2002,260.0
18,219000,2002,765.0
19,220000,2002,332.0
20,221000,2002,294.0
21,222000,2002,230.0
22,223000,2002,417.0
23,224000,2002,422.0
24,225000,2002,403.0
25,226000,2002,235.0
26,261000,2002,365.0
27,262000,2002,427.0
28,263000,2002,689.0
29,264000,2002,2777.0
30,265000,2002,
31,401000,2002,334.0
32,402000,2002,299.0
33,403000,2002,311.0
34,404000,2002,219.0
35,405000,2002,178.0
36,406000,2002,184.0
37,407000,2002,770.0
38,408000,2002,302.0
39,409000,2002,231.0
40,410000,2002,346.0
41,411000,2002,235.0
42,412000,2002,224.0
43,413000,2002,167.0
44,414000,2002,445.0
45,415000,2002,314.0
46,416000,2002,217.0
47,417000,2002,136.0
48,418000,2002,474.0
49,419000,2002,306.0
50,461000,2002,1511.0
51,462000,2002,469.0
52,463000,2002,677.0
53,464000,2002,496.0
54,601000,2002,712.0
55,602000,2002,457.0
56,603000,2002,534.0
57,604000,2002,291.0
58,605000,2002,286.0
59,606000,2002,579.0
60,607000,2002,600.0
61,608000,2002,560.0
62,609000,2002,802.0
63,610000,2002,263.0
64,611000,2002,556.0
65,612000,2002,431.0
66,613000,2002,253.0
67,614000,2002,546.0
68,615000,2002,367.0
69,616000,2002,362.0
70,617000,2002,351.0
71,618000,2002,433.0
72,619000,2002,237.0
73,620000,2002,608.0
74,661000,2002,208.0
75,662000,2002,293.0
76,663000,2002,1407.0
77,664000,2002,175.0
78,801000,2002,196.0
79,802000,2002,203.0
80,803000,2002,187.0
81,804000,2002,276.0
82,805000,2002,148.0
83,806000,2002,165.0
84,807000,2002,124.0
85,808000,2002,228.0
86,809000,2002,264.0
87,810000,2002,368.0
88,811000,2002,434.0
89,812000,2002,124.0
90,861000,2002,362.0
91,862000,2002,347.0
92,1001000,2002,410.0
93,1002000,2002,610.0
94,1003000,2002,286.0
95,1004000,2002,389.0
96,1005000,2002,564.0
97,1006000,2002,386.0
98,1007000,2002,469.0
99,1008000,2002,710.0
100,1009000,2002,301.0
101,1010000,2002,515.0
102,1011000,2002,308.0
103,1012000,2002,715.0
104,1013000,2002,223.0
105,1014000,2002,645.0
106,1015000,2002,275.0
107,1016000,2002,735.0
108,1017000,2002,406.0
109,1018000,2002,280.0
110,1019000,2002,307.0
111,1020000,2002,817.0
112,1021000,2002,191.0
113,1061000,2002,4123.0
114,1062000,2002,392.0
115,1063000,2002,193.0
116,1201000,2002,469.0
117,1202000,2002,373.0
118,1203000,2002,593.0
119,1204000,2002,271.0
120,1205000,2002,557.0
121,1206000,2002,1148.0
122,1207000,2002,496.0
123,1208000,2002,352.0
124,1209000,2002,488.0
125,1210000,2002,804.0
126,1211000,2002,758.0
127,1212000,2002,535.0
128,1213000,2002,663.0
129,1214000,2002,241.0
130,1215000,2002,382.0
131,1216000,2002,768.0
132,1217000,2002,295.0
133,1218000,2002,647.0
134,1219000,2002,511.0
135,1261000,2002,3226.0
136,1262000,2002,326.0
137,1263000,2002,463.0
138,1401000,2002,169.0
139,1402000,2002,372.0
140,1403000,2002,567.0
141,1404000,2002,208.0
142,1405000,2002,393.0
143,1406000,2002,586.0
144,1407000,2002,331.0
145,1408000,2002,295.0
146,1409000,2002,291.0
147,1410000,2002,214.0
148,1411000,2002,301.0
149,1412000,2002,677.0
150,1413000,2002,345.0
151,1414000,2002,339.0
152,1415000,2002,366.0
153,1416000,2002,413.0
154,1417000,2002,560.0
155,1418000,2002,535.0
156,1419000,2002,496.0
157,1420000,2002,418.0
158,1421000,2002,583.0
159,1422000,2002,279.0
160,1423000,2002,283.0
161,1424000,2002,262.0
162,1425000,2002,656.0
163,1426000,2002,460.0
164,1427000,2002,224.0
165,1428000,2002,387.0
166,1429000,2002,395.0
167,1430000,2002,187.0
168,1432000,2002,369.0
169,1433000,2002,398.0
170,1434000,2002,699.0
171,1435000,2002,265.0
172,1436000,2002,198.0
173,1437000,2002,189.0
174,1438000,2002,361.0
175,1461000,2002,131.0
176,1462000,2002,395.0
177,1463000,2002,900.0
178,1464000,2002,215.0
179,1465000,2002,7091.0
180,1601000,2002,404.0
181,1602000,2002,332.0
182,1603000,2002,503.0
183,1604000,2002,323.0
184,1605000,2002,273.0
185,1606000,2002,237.0
186,1607000,2002,675.0
187,1608000,2002,355.0
188,1609000,2002,573.0
189,1610000,2002,343.0
190,1611000,2002,399.0
191,1661000,2002,516.0
192,1801000,2002,80.0
193,1802000,2002,325.0
194,1803000,2002,597.0
195,1804000,2002,658.0
196,1805000,2002,606.0
197,1806000,2002,277.0
198,1807000,2002,512.0
199,1808000,2002,293.0
200,1809000,2002,286.0
201,1810000,2002,370.0
202,1811000,2002,537.0
203,1812000,2002,326.0
204,1813000,2002,385.0
205,1814000,2002,446.0
206,1815000,2002,364.0
207,1816000,2002,814.0
208,1817000,2002,381.0
209,1818000,2002,486.0
210,1819000,2002,322.0
211,1820000,2002,257.0
212,1821000,2002,95.0
213,1861000,2002,152.0
214,1862000,2002,351.0
215,1863000,2002,595.0
216,1864000,2002,132.0
217,2001000,2002,276.0
218,2002000,2002,649.0
219,2003000,2002,345.0
220,2004000,2002,192.0
221,2005000,2002,379.0
222,2006000,2002,181.0
223,2007000,2002,220.0
224,2008000,2002,225.0
225,2009000,2002,79.0
226,2010000,2002,306.0
227,2011000,2002,464.0
228,2012000,2002,163.0
229,2013000,2002,301.0
230,2014000,2002,178.0
231,2061000,2002,850.0
232,2062000,2002,150.0
