Kod,Date,Value
201000,2003,5.25
202000,2003,5.25
203000,2003,5.25
204000,2003,5.25
205000,2003,5.25
206000,2003,5.25
207000,2003,5.25
208000,2003,5.25
209000,2003,5.25
210000,2003,5.25
211000,2003,5.25
212000,2003,5.25
213000,2003,5.25
214000,2003,5.25
215000,2003,5.25
216000,2003,5.25
217000,2003,5.25
218000,2003,5.25
219000,2003,5.25
220000,2003,5.25
221000,2003,5.25
222000,2003,5.25
223000,2003,5.25
224000,2003,5.25
225000,2003,5.25
226000,2003,5.25
261000,2003,5.25
262000,2003,5.25
263000,2003,5.25
264000,2003,5.25
265000,2003,5.25
401000,2003,5.98
402000,2003,5.98
403000,2003,5.98
404000,2003,5.98
405000,2003,5.98
406000,2003,5.98
407000,2003,5.98
408000,2003,5.98
409000,2003,5.98
410000,2003,5.98
411000,2003,5.98
412000,2003,5.98
413000,2003,5.98
414000,2003,5.98
415000,2003,5.98
416000,2003,5.98
417000,2003,5.98
418000,2003,5.98
419000,2003,5.98
461000,2003,5.98
462000,2003,5.98
463000,2003,5.98
464000,2003,5.98
601000,2003,5.66
602000,2003,5.66
603000,2003,5.66
604000,2003,5.66
605000,2003,5.66
606000,2003,5.66
607000,2003,5.66
608000,2003,5.66
609000,2003,5.66
610000,2003,5.66
611000,2003,5.66
612000,2003,5.66
613000,2003,5.66
614000,2003,5.66
615000,2003,5.66
616000,2003,5.66
617000,2003,5.66
618000,2003,5.66
619000,2003,5.66
620000,2003,5.66
661000,2003,5.66
662000,2003,5.66
663000,2003,5.66
664000,2003,5.66
801000,2003,5.84
802000,2003,5.84
803000,2003,5.84
804000,2003,5.84
805000,2003,5.84
806000,2003,5.84
807000,2003,5.84
808000,2003,5.84
809000,2003,5.84
810000,2003,5.84
811000,2003,5.84
812000,2003,5.84
861000,2003,5.84
862000,2003,5.84
1001000,2003,5.96
1002000,2003,5.96
1003000,2003,5.96
1004000,2003,5.96
1005000,2003,5.96
1006000,2003,5.96
1007000,2003,5.96
1008000,2003,5.96
1009000,2003,5.96
1010000,2003,5.96
1011000,2003,5.96
1012000,2003,5.96
1013000,2003,5.96
1014000,2003,5.96
1015000,2003,5.96
1016000,2003,5.96
1017000,2003,5.96
1018000,2003,5.96
1019000,2003,5.96
1020000,2003,5.96
1021000,2003,5.96
1061000,2003,5.96
1062000,2003,5.96
1063000,2003,5.96
1201000,2003,4.95
1202000,2003,4.95
1203000,2003,4.95
1204000,2003,4.95
1205000,2003,4.95
1206000,2003,4.95
1207000,2003,4.95
1208000,2003,4.95
1209000,2003,4.95
1210000,2003,4.95
1211000,2003,4.95
1212000,2003,4.95
1213000,2003,4.95
1214000,2003,4.95
1215000,2003,4.95
1216000,2003,4.95
1217000,2003,4.95
1218000,2003,4.95
1219000,2003,4.95
1261000,2003,4.95
1262000,2003,4.95
1263000,2003,4.95
1401000,2003,5.75
1402000,2003,5.75
1403000,2003,5.75
1404000,2003,5.75
1405000,2003,5.75
1406000,2003,5.75
1407000,2003,5.75
1408000,2003,5.75
1409000,2003,5.75
1410000,2003,5.75
1411000,2003,5.75
1412000,2003,5.75
1413000,2003,5.75
1414000,2003,5.75
1415000,2003,5.75
1416000,2003,5.75
1417000,2003,5.75
1418000,2003,5.75
1419000,2003,5.75
1420000,2003,5.75
1421000,2003,5.75
1422000,2003,5.75
