Kod,Date,Value
201000,2003,1.68
202000,2003,1.68
203000,2003,1.68
204000,2003,1.68
205000,2003,1.68
206000,2003,1.68
207000,2003,1.68
208000,2003,1.68
209000,2003,1.68
210000,2003,1.68
211000,2003,1.68
212000,2003,1.68
213000,2003,1.68
214000,2003,1.68
215000,2003,1.68
216000,2003,1.68
217000,2003,1.68
218000,2003,1.68
219000,2003,1.68
220000,2003,1.68
221000,2003,1.68
222000,2003,1.68
223000,2003,1.68
224000,2003,1.68
225000,2003,1.68
226000,2003,1.68
261000,2003,1.68
262000,2003,1.68
263000,2003,1.68
264000,2003,1.68
265000,2003,1.68
401000,2003,1.69
402000,2003,1.69
403000,2003,1.69
404000,2003,1.69
405000,2003,1.69
406000,2003,1.69
407000,2003,1.69
408000,2003,1.69
409000,2003,1.69
410000,2003,1.69
411000,2003,1.69
412000,2003,1.69
413000,2003,1.69
414000,2003,1.69
415000,2003,1.69
416000,2003,1.69
417000,2003,1.69
418000,2003,1.69
419000,2003,1.69
461000,2003,1.69
462000,2003,1.69
463000,2003,1.69
464000,2003,1.69
601000,2003,1.69
602000,2003,1.69
603000,2003,1.69
604000,2003,1.69
605000,2003,1.69
606000,2003,1.69
607000,2003,1.69
608000,2003,1.69
609000,2003,1.69
610000,2003,1.69
611000,2003,1.69
612000,2003,1.69
613000,2003,1.69
614000,2003,1.69
615000,2003,1.69
616000,2003,1.69
617000,2003,1.69
618000,2003,1.69
619000,2003,1.69
620000,2003,1.69
661000,2003,1.69
662000,2003,1.69
663000,2003,1.69
664000,2003,1.69
801000,2003,1.72
802000,2003,1.72
803000,2003,1.72
804000,2003,1.72
805000,2003,1.72
806000,2003,1.72
807000,2003,1.72
808000,2003,1.72
809000,2003,1.72
810000,2003,1.72
811000,2003,1.72
812000,2003,1.72
861000,2003,1.72
862000,2003,1.72
1001000,2003,1.54
1002000,2003,1.54
1003000,2003,1.54
1004000,2003,1.54
1005000,2003,1.54
1006000,2003,1.54
1007000,2003,1.54
1008000,2003,1.54
1009000,2003,1.54
1010000,2003,1.54
1011000,2003,1.54
1012000,2003,1.54
1013000,2003,1.54
1014000,2003,1.54
1015000,2003,1.54
1016000,2003,1.54
1017000,2003,1.54
1018000,2003,1.54
1019000,2003,1.54
1020000,2003,1.54
1021000,2003,1.54
1061000,2003,1.54
1062000,2003,1.54
1063000,2003,1.54
1201000,2003,1.45
1202000,2003,1.45
1203000,2003,1.45
1204000,2003,1.45
1205000,2003,1.45
1206000,2003,1.45
1207000,2003,1.45
1208000,2003,1.45
1209000,2003,1.45
1210000,2003,1.45
1211000,2003,1.45
1212000,2003,1.45
1213000,2003,1.45
1214000,2003,1.45
1215000,2003,1.45
1216000,2003,1.45
1217000,2003,1.45
1218000,2003,1.45
1219000,2003,1.45
1261000,2003,1.45
1262000,2003,1.45
1263000,2003,1.45
1401000,2003,1.52
1402000,2003,1.52
1403000,2003,1.52
1404000,2003,1.52
1405000,2003,1.52
1406000,2003,1.52
1407000,2003,1.52
1408000,2003,1.52
1409000,2003,1.52
1410000,2003,1.52
1411000,2003,1.52
1412000,2003,1.52
1413000,2003,1.52
1414000,2003,1.52
1415000,2003,1.52
1416000,2003,1.52
1417000,2003,1.52
1418000,2003,1.52
1419000,2003,1.52
1420000,2003,1.52
1421000,2003,1.52
1422000,2003,1.52
1423000,2003,1.52
1424000,2003,1.52
1425000,2003,1.52
1426000,2003,1.52
1427000,2003,1.52
1428000,2003,1.52
1429000,2003,1.52
1430000,2003,1.52
1432000,2003,1.52
1433000,2003,1.52
1434000,2003,1.52
1435000,2003,1.52
1436000,2003,1.52
1437000,2003,1.52
1438000,2003,1.52
1461000,2003,1.52
1462000,2003,1.52
1463000,2003,1.52
1464000,2003,1.52
1465000,2003,1.52
1601000,2003,1.78
1602000,2003,1.78
1603000,2003,1.78
1604000,2003,1.78
1605000,2003,1.78
1606000,2003,1.78
1607000,2003,1.78
1608000,2003,1.78
1609000,2003,1.78
1610000,2003,1.78
1611000,2003,1.78
1661000,2003,1.78
1801000,2003,1.64
1802000,2003,1.64
1803000,2003,1.64
1804000,2003,1.64
1805000,2003,1.64
1806000,2003,1.64
1807000,2003,1.64
1808000,2003,1.64
1809000,2003,1.64
1810000,2003,1.64
1811000,2003,1.64
1812000,2003,1.64
1813000,2003,1.64
1814000,2003,1.64
1815000,2003,1.64
1816000,2003,1.64
1817000,2003,1.64
1818000,2003,1.64
1819000,2003,1.64
1820000,2003,1.64
1821000,2003,1.64
1861000,2003,1.64
1862000,2003,1.64
1863000,2003,1.64
1864000,2003,1.64
2001000,2003,1.6
2002000,2003,1.6
2003000,2003,1.6
2004000,2003,1.6
2005000,2003,1.6
2006000,2003,1.6
2007000,2003,1.6
2008000,2003,1.6
2009000,2003,1.6
2010000,2003,1.6
2011000,2003,1.6
2012000,2003,1.6
2013000,2003,1.6
2014000,2003,1.6
2061000,2003,1.6
2062000,2003,1.6
2063000,2003,1.6
2201000,2003,1.52
2202000,2003,1.52
2203000,2003,1.52
2204000,2003,1.52
2205000,2003,1.52
2206000,2003,1.52
2207000,2003,1.52
2208000,2003,1.52
2209000,2003,1.52
2210000,2003,1.52
2211000,2003,1.52
2212000,2003,1.52
2213000,2003,1.52
2214000,2003,1.52
2215000,2003,1.52
2216000,2003,1.52
2261000,2003,1.52
2262000,2003,1.52
2263000,2003,1.52
2264000,2003,1.52
2401000,2003,1.62
2402000,2003,1.62
2403000,2003,1.62
2404000,2003,1.62
2405000,2003,1.62
2406000,2003,1.62
2407000,2003,1.62
2408000,2003,1.62
2409000,2003,1.62
2410000,2003,1.62
2411000,2003,1.62
2412000,2003,1.62
2413000,2003,1.62
2414000,2003,1.62
2415000,2003,1.62
2416000,2003,1.62
2417000,2003,1.62
2461000,2003,1.62
2462000,2003,1.62
2463000,2003,1.62
2464000,2003,1.62
2465000,2003,1.62
2466000,2003,1.62
2467000,2003,1.62
2468000,2003,1.62
2469000,2003,1.62
2470000,2003,1.62
2471000,2003,1.62
2472000,2003,1.62
2473000,2003,1.62
2474000,2003,1.62
2475000,2003,1.62
2476000,2003,1.62
2477000,2003,1.62
2478000,2003,1.62
2479000,2003,1.62
2601000,2003,1.55
2602000,2003,1.55
2603000,2003,1.55
2604000,2003,1.55
2605000,2003,1.55
2606000,2003,1.55
2607000,2003,1.55
2608000,2003,1.55
2609000,2003,1.55
2610000,2003,1.55
2611000,2003,1.55
2612000,2003,1.55
2613000,2003,1.55
2661000,2003,1.55
2801000,2003,1.6
2802000,2003,1.6
2803000,2003,1.6
2804000,2003,1.6
2805000,2003,1.6
2806000,2003,1.6
2807000,2003,1.6
2808000,2003,1.6
2809000,2003,1.6
2810000,2003,1.6
2811000,2003,1.6
2812000,2003,1.6
2813000,2003,1.6
2814000,2003,1.6
2815000,2003,1.6
2816000,2003,1.6
2817000,2003,1.6
2818000,2003,1.6
2819000,2003,1.6
2861000,2003,1.6
2862000,2003,1.6
3001000,2003,1.7
3002000,2003,1.7
3003000,2003,1.7
3004000,2003,1.7
3005000,2003,1.7
3006000,2003,1.7
3007000,2003,1.7
3008000,2003,1.7
3009000,2003,1.7
3010000,2003,1.7
3011000,2003,1.7
3012000,2003,1.7
3013000,2003,1.7
3014000,2003,1.7
3015000,2003,1.7
3016000,2003,1.7
3017000,2003,1.7
3018000,2003,1.7
3019000,2003,1.7
3020000,2003,1.7
3021000,2003,1.7
3022000,2003,1.7
3023000,2003,1.7
3024000,2003,1.7
3025000,2003,1.7
3026000,2003,1.7
3027000,2003,1.7
3028000,2003,1.7
3029000,2003,1.7
3030000,2003,1.7
3031000,2003,1.7
3061000,2003,1.7
3062000,2003,1.7
3063000,2003,1.7
3064000,2003,1.7
3201000,2003,1.67
3202000,2003,1.67
3203000,2003,1.67
3204000,2003,1.67
3205000,2003,1.67
3206000,2003,1.67
3207000,2003,1.67
3208000,2003,1.67
3209000,2003,1.67
3210000,2003,1.67
3211000,2003,1.67
3212000,2003,1.67
3213000,2003,1.67
3214000,2003,1.67
3215000,2003,1.67
3216000,2003,1.67
3217000,2003,1.67
3218000,2003,1.67
3261000,2003,1.67
3262000,2003,1.67
3263000,2003,1.67
201000,2004,1.67
202000,2004,1.67
203000,2004,1.67
204000,2004,1.67
205000,2004,1.67
206000,2004,1.67
207000,2004,1.67
208000,2004,1.67
209000,2004,1.67
210000,2004,1.67
211000,2004,1.67
212000,2004,1.67
213000,2004,1.67
214000,2004,1.67
215000,2004,1.67
216000,2004,1.67
217000,2004,1.67
218000,2004,1.67
219000,2004,1.67
220000,2004,1.67
221000,2004,1.67
222000,2004,1.67
223000,2004,1.67
224000,2004,1.67
225000,2004,1.67
226000,2004,1.67
261000,2004,1.67
262000,2004,1.67
263000,2004,1.67
264000,2004,1.67
265000,2004,1.67
401000,2004,1.64
402000,2004,1.64
403000,2004,1.64
404000,2004,1.64
405000,2004,1.64
406000,2004,1.64
407000,2004,1.64
408000,2004,1.64
409000,2004,1.64
410000,2004,1.64
411000,2004,1.64
412000,2004,1.64
413000,2004,1.64
