Kod,Date,Value
201000,2002,323.0
202000,2002,529.0
203000,2002,286.0
204000,2002,161.0
205000,2002,294.0
206000,2002,251.0
207000,2002,162.0
208000,2002,936.0
209000,2002,242.0
210000,2002,252.0
211000,2002,282.0
212000,2002,263.0
213000,2002,187.0
214000,2002,446.0
215000,2002,263.0
216000,2002,210.0
217000,2002,226.0
218000,2002,260.0
219000,2002,765.0
220000,2002,332.0
221000,2002,294.0
222000,2002,230.0
223000,2002,417.0
224000,2002,422.0
225000,2002,403.0
226000,2002,235.0
261000,2002,365.0
262000,2002,427.0
263000,2002,689.0
264000,2002,2777.0
401000,2002,334.0
402000,2002,299.0
403000,2002,311.0
404000,2002,219.0
405000,2002,178.0
406000,2002,184.0
407000,2002,770.0
408000,2002,302.0
409000,2002,231.0
410000,2002,346.0
411000,2002,235.0
412000,2002,224.0
413000,2002,167.0
414000,2002,445.0
415000,2002,314.0
416000,2002,217.0
417000,2002,136.0
418000,2002,474.0
419000,2002,306.0
461000,2002,1511.0
462000,2002,469.0
463000,2002,677.0
464000,2002,496.0
601000,2002,712.0
602000,2002,457.0
603000,2002,534.0
604000,2002,291.0
605000,2002,286.0
606000,2002,579.0
607000,2002,600.0
608000,2002,560.0
609000,2002,802.0
610000,2002,263.0
611000,2002,556.0
612000,2002,431.0
613000,2002,253.0
614000,2002,546.0
615000,2002,367.0
616000,2002,362.0
617000,2002,351.0
618000,2002,433.0
619000,2002,237.0
620000,2002,608.0
661000,2002,208.0
662000,2002,293.0
663000,2002,1407.0
664000,2002,175.0
801000,2002,196.0
802000,2002,203.0
803000,2002,187.0
804000,2002,276.0
805000,2002,148.0
806000,2002,165.0
807000,2002,124.0
808000,2002,228.0
809000,2002,264.0
810000,2002,368.0
811000,2002,434.0
812000,2002,124.0
861000,2002,362.0
862000,2002,347.0
1001000,2002,410.0
1002000,2002,610.0
1003000,2002,286.0
1004000,2002,389.0
1005000,2002,564.0
1006000,2002,386.0
1007000,2002,469.0
1008000,2002,710.0
1009000,2002,301.0
1010000,2002,515.0
1011000,2002,308.0
1012000,2002,715.0
1013000,2002,223.0
1014000,2002,645.0
1015000,2002,275.0
1016000,2002,735.0
1017000,2002,406.0
1018000,2002,280.0
1019000,2002,307.0
1020000,2002,817.0
1021000,2002,191.0
1061000,2002,4123.0
1062000,2002,392.0
1063000,2002,193.0
1201000,2002,469.0
1202000,2002,373.0
1203000,2002,593.0
1204000,2002,271.0
1205000,2002,557.0
1206000,2002,1148.0
1207000,2002,496.0
1208000,2002,352.0
1209000,2002,488.0
1210000,2002,804.0
1211000,2002,758.0
1212000,2002,535.0
1213000,2002,663.0
1214000,2002,241.0
1215000,2002,382.0
1216000,2002,768.0
1217000,2002,295.0
1218000,2002,647.0
1219000,2002,511.0
1261000,2002,3226.0
1262000,2002,326.0
1263000,2002,463.0
1401000,2002,169.0
1402000,2002,372.0
1403000,2002,567.0
1404000,2002,208.0
1405000,2002,393.0
1406000,2002,586.0
1407000,2002,331.0
1408000,2002,295.0
1409000,2002,291.0
1410000,2002,214.0
1411000,2002,301.0
1412000,2002,677.0
1413000,2002,345.0
1414000,2002,339.0
1415000,2002,366.0
1416000,2002,413.0
1417000,2002,560.0
1418000,2002,535.0
1419000,2002,496.0
1420000,2002,418.0
1421000,2002,583.0
1422000,2002,279.0
1423000,2002,283.0
1424000,2002,262.0
1425000,2002,656.0
1426000,2002,460.0
1427000,2002,224.0
1428000,2002,387.0
1429000,2002,395.0
1430000,2002,187.0
1432000,2002,369.0
1433000,2002,398.0
1434000,2002,699.0
1435000,2002,265.0
1436000,2002,198.0
1437000,2002,189.0
1438000,2002,361.0
1461000,2002,131.0
1462000,2002,395.0
1463000,2002,900.0
1464000,2002,215.0
1465000,2002,7091.0
1601000,2002,404.0
1602000,2002,332.0
1603000,2002,503.0
1604000,2002,323.0
1605000,2002,273.0
1606000,2002,237.0
1607000,2002,675.0
1608000,2002,355.0
1609000,2002,573.0
1610000,2002,343.0
1611000,2002,399.0
1661000,2002,516.0
1801000,2002,80.0
1802000,2002,325.0
1803000,2002,597.0
1804000,2002,658.0
1805000,2002,606.0
1806000,2002,277.0
1807000,2002,512.0
1808000,2002,293.0
1809000,2002,286.0
1810000,2002,370.0
