"Kod";"Nazwa";"mięso;2003;[kg]";"mięso;2004;[kg]";"mięso;2005;[kg]";"mięso;2006;[kg]";"mięso;2007;[kg]";"mięso;2008;[kg]";"mięso;2009;[kg]";"mięso;2010;[kg]";"mięso;2011;[kg]";"mięso;2012;[kg]";"mięso;2013;[kg]";"mięso;2014;[kg]";"mięso;2015;[kg]";"mięso;2016;[kg]";"mięso;2017;[kg]";
0000000;"POLSKA";5,59;5,43;5,48;5,40;5,39;5,60;5,55;5,57;5,48;5,42;5,26;5,29;5,27;5,32;5,28;
0200000;"DOLNOŚLĄSKIE";5,25;5,16;5,19;5,23;5,18;5,23;5,27;5,51;5,47;5,56;5,28;5,15;5,18;5,23;5,08;
0400000;"KUJAWSKO-POMORSKIE";5,98;5,96;6,06;5,87;5,75;5,61;5,76;5,90;5,97;5,66;5,56;5,77;5,71;5,48;5,69;
0600000;"LUBELSKIE";5,66;5,35;5,54;5,41;5,26;5,53;5,40;5,46;5,46;5,53;5,35;5,38;5,37;5,60;5,61;
0800000;"LUBUSKIE";5,84;5,61;5,58;5,65;5,68;6,02;5,95;5,91;5,85;6,17;6,09;5,66;5,61;5,83;5,69;
1000000;"ŁÓDZKIE";5,96;5,81;5,90;5,51;5,63;6,01;5,97;5,86;5,87;5,78;5,70;5,82;5,65;5,56;5,67;
1200000;"MAŁOPOLSKIE";4,95;4,86;5,00;5,09;4,98;5,24;5,33;5,43;5,32;5,20;4,99;4,92;4,88;4,96;4,77;
1400000;"MAZOWIECKIE";5,75;5,68;5,51;5,40;5,31;5,61;5,51;5,36;5,33;5,30;5,13;5,15;5,08;5,13;5,10;
1600000;"OPOLSKIE";5,38;5,21;5,36;5,14;5,27;5,24;5,29;5,57;5,47;5,20;5,01;5,02;5,25;5,06;5,19;
1800000;"PODKARPACKIE";4,56;4,44;4,52;4,50;4,60;4,98;4,84;4,83;4,77;4,87;4,66;4,79;4,80;4,91;4,89;
2000000;"PODLASKIE";6,58;6,28;6,88;6,91;6,86;6,65;6,43;6,93;6,52;6,29;6,22;6,50;6,36;6,87;6,88;
2200000;"POMORSKIE";5,37;5,36;5,16;5,11;4,93;5,35;5,40;5,24;5,05;4,86;4,86;5,03;5,01;5,05;5,17;
2400000;"ŚLĄSKIE";5,54;5,42;5,32;5,24;5,31;5,42;5,40;5,48;5,41;5,36;5,24;5,25;5,30;5,38;5,26;
2600000;"ŚWIĘTOKRZYSKIE";6,10;5,93;6,26;6,20;6,33;6,27;6,17;6,31;6,29;6,28;5,98;5,91;6,05;6,30;6,01;
2800000;"WARMIŃSKO-MAZURSKIE";6,23;5,86;6,13;6,08;6,11;6,02;5,86;5,84;5,54;5,61;5,46;5,56;5,45;5,57;5,45;
3000000;"WIELKOPOLSKIE";5,41;5,17;5,28;5,20;5,38;5,75;5,58;5,35;5,20;5,08;4,83;4,79;4,75;4,70;4,76;
3200000;"ZACHODNIOPOMORSKIE";5,99;5,49;5,73;5,58;5,54;5,96;5,85;5,89;5,68;5,68;5,66;5,81;5,77;5,87;5,83;
