"Kod";"Nazwa";"oleje i tłuszcze;2003;[kg]";"oleje i tłuszcze;2004;[kg]";"oleje i tłuszcze;2005;[kg]";"oleje i tłuszcze;2006;[kg]";"oleje i tłuszcze;2007;[kg]";"oleje i tłuszcze;2008;[kg]";"oleje i tłuszcze;2009;[kg]";"oleje i tłuszcze;2010;[kg]";"oleje i tłuszcze;2011;[kg]";"oleje i tłuszcze;2012;[kg]";"oleje i tłuszcze;2013;[kg]";"oleje i tłuszcze;2014;[kg]";"oleje i tłuszcze;2015;[kg]";"oleje i tłuszcze;2016;[kg]";"oleje i tłuszcze;2017;[kg]";
0000000;"POLSKA";1,61;1,57;1,53;1,46;1,42;1,39;1,37;1,35;1,31;1,31;1,23;1,21;1,15;1,13;1,11;
0200000;"DOLNOŚLĄSKIE";1,68;1,67;1,61;1,57;1,53;1,44;1,41;1,42;1,39;1,44;1,33;1,28;1,23;1,20;1,14;
0400000;"KUJAWSKO-POMORSKIE";1,69;1,64;1,56;1,51;1,38;1,39;1,38;1,32;1,36;1,37;1,28;1,27;1,22;1,18;1,17;
0600000;"LUBELSKIE";1,69;1,63;1,59;1,50;1,39;1,39;1,36;1,34;1,32;1,36;1,25;1,22;1,12;1,15;1,20;
0800000;"LUBUSKIE";1,72;1,64;1,65;1,54;1,53;1,55;1,49;1,45;1,44;1,48;1,38;1,30;1,24;1,20;1,18;
1000000;"ŁÓDZKIE";1,54;1,51;1,47;1,37;1,37;1,38;1,36;1,30;1,29;1,27;1,23;1,25;1,15;1,11;1,11;
1200000;"MAŁOPOLSKIE";1,45;1,41;1,41;1,38;1,34;1,30;1,31;1,28;1,25;1,24;1,16;1,15;1,14;1,07;1,00;
1400000;"MAZOWIECKIE";1,52;1,50;1,42;1,34;1,29;1,31;1,27;1,21;1,16;1,19;1,10;1,08;1,03;1,02;0,99;
1600000;"OPOLSKIE";1,78;1,77;1,70;1,60;1,53;1,44;1,40;1,41;1,39;1,35;1,28;1,27;1,29;1,21;1,19;
1800000;"PODKARPACKIE";1,64;1,58;1,49;1,43;1,43;1,41;1,41;1,41;1,34;1,33;1,26;1,25;1,19;1,17;1,15;
2000000;"PODLASKIE";1,60;1,47;1,58;1,51;1,43;1,34;1,38;1,50;1,34;1,33;1,19;1,18;1,07;1,10;1,08;
2200000;"POMORSKIE";1,52;1,57;1,53;1,40;1,31;1,33;1,32;1,25;1,24;1,22;1,16;1,14;1,10;1,07;1,06;
2400000;"ŚLĄSKIE";1,62;1,58;1,51;1,51;1,49;1,39;1,39;1,38;1,35;1,32;1,25;1,24;1,20;1,22;1,16;
2600000;"ŚWIĘTOKRZYSKIE";1,55;1,56;1,46;1,50;1,40;1,38;1,39;1,38;1,35;1,34;1,27;1,29;1,20;1,18;1,19;
2800000;"WARMIŃSKO-MAZURSKIE";1,60;1,59;1,60;1,53;1,54;1,45;1,42;1,45;1,31;1,31;1,24;1,19;1,13;1,08;1,04;
3000000;"WIELKOPOLSKIE";1,70;1,66;1,61;1,54;1,56;1,54;1,49;1,40;1,38;1,36;1,29;1,26;1,18;1,15;1,17;
3200000;"ZACHODNIOPOMORSKIE";1,67;1,59;1,60;1,43;1,39;1,43;1,41;1,40;1,34;1,38;1,26;1,24;1,20;1,22;1,20;
